apply,pared,public,gpa
3,0,0,3.25999999
2,1,0,3.210000038
1,1,1,3.940000057
2,0,0,2.809999943
2,0,0,2.529999971
1,0,1,2.589999914
2,0,0,2.559999943
2,0,0,2.730000019
1,0,0,3
2,1,0,3.5
1,1,1,3.650000095
2,0,0,2.839999914
3,0,1,3.900000095
2,0,0,2.680000067
1,1,0,3.569999933
1,0,0,3.089999914
1,0,1,3.5
1,0,0,2.170000076
3,0,1,3.359999895
2,0,0,3.400000095
3,0,0,2.75
2,1,0,3.200000048
1,0,0,2.440000057
1,0,0,2.829999924
1,0,1,3
2,0,1,3.269999981
2,1,0,3.140000105
2,0,0,3.369999886
3,0,1,2.789999962
1,0,0,2.900000095
2,0,0,3.380000114
1,0,1,2.950000048
1,0,0,2.980000019
1,1,1,3.809999943
1,0,0,2.74000001
1,0,0,2.619999886
1,0,0,2.849999905
2,0,0,2.5
2,0,0,2.75
1,0,0,2.25999999
1,0,0,2.029999971
2,1,0,2.849999905
1,0,0,2.720000029
2,0,0,2.890000105
2,1,0,2.470000029
1,0,0,3.039999962
1,0,0,3.099999905
1,0,0,2.569999933
1,0,0,2.089999914
2,0,0,2.940000057
1,0,0,3.450000048
1,0,0,2.75999999
3,0,1,2.960000038
1,0,0,2.890000105
2,0,0,2.970000029
2,0,1,3.910000086
2,0,0,2.769999981
1,0,0,2.50999999
1,0,0,3.24000001
1,0,0,2.440000057
2,0,0,2.779999971
1,0,0,2.940000057
1,1,0,3.220000029
1,0,0,3.5
3,1,0,3.569999933
2,0,0,3.170000076
1,0,1,3.230000019
1,0,0,2.910000086
1,0,0,3.279999971
1,0,1,3.319999933
1,0,0,3.619999886
1,0,0,2.549999952
1,0,0,2.970000029
3,1,0,3.630000114
1,0,1,3.019999981
1,0,1,3.599999905
1,0,0,2.950000048
3,1,1,3.809999943
2,1,0,2.680000067
1,1,0,3.720000029
1,0,0,2.49000001
1,0,0,2.720000029
1,1,0,2.25
1,0,0,2.529999971
1,0,0,3.25999999
3,0,0,2.569999933
1,0,0,2.900000095
1,0,0,3.049999952
2,0,0,2.849999905
2,0,0,4
3,1,0,3.400000095
2,0,1,3.24000001
1,0,1,3.50999999
3,0,0,2.549999952
1,0,0,3.059999943
3,0,0,3
2,0,0,3.130000114
1,0,0,3.160000086
2,0,0,2.470000029
2,0,0,2.890000105
1,0,0,2.74000001
1,0,0,3.160000086
1,0,0,2.920000076
2,0,0,3.569999933
2,1,0,3.49000001
2,0,1,2.559999943
2,1,0,3.119999886
2,1,0,2.650000095
2,0,0,2.50999999
2,0,0,3.079999924
2,0,0,2.650000095
1,0,0,2.99000001
1,0,0,2.630000114
2,0,0,2.799999952
2,0,1,3.460000038
1,0,0,3.609999895
1,0,0,3.079999924
1,1,0,3.279999971
1,0,1,3.309999943
1,0,0,2.569999933
2,0,0,3.390000105
1,0,0,2.25999999
1,0,0,2.420000076
1,0,0,2.599999905
2,1,1,3.440000057
2,0,0,2.980000019
2,1,0,3.089999914
1,0,1,3.339999914
1,0,0,2.839999914
1,0,0,2.809999943
1,0,0,2.789999962
1,0,0,2.400000095
1,0,0,3.019999981
2,0,0,2.650000095
2,0,0,2.549999952
2,1,0,3.119999886
1,0,0,2.980000019
3,1,0,3.609999895
1,0,0,2.980000019
1,0,0,3.190000057
